file,volume
D:\\FINANCE PROJECTS\\DATASETS\\archive\BANDHANBNK_minute.csv,5786073.428610208
D:\\FINANCE PROJECTS\\DATASETS\\archive\BANKBARODA_minute.csv,6670658.042984519
D:\\FINANCE PROJECTS\\DATASETS\\archive\BANKINDIA_minute.csv,2126595.6316369004
D:\\FINANCE PROJECTS\\DATASETS\\archive\BASF_minute.csv,269689.0666461365
D:\\FINANCE PROJECTS\\DATASETS\\archive\BATAINDIA_minute.csv,1711044.9085761465
D:\\FINANCE PROJECTS\\DATASETS\\archive\BAYERCROP_minute.csv,282231.32281122735
D:\\FINANCE PROJECTS\\DATASETS\\archive\BBTC_minute.csv,528739.3492172912
D:\\FINANCE PROJECTS\\DATASETS\\archive\BDL_minute.csv,2889840.975937007
D:\\FINANCE PROJECTS\\DATASETS\\archive\BEL_minute.csv,6324617.176866268
D:\\FINANCE PROJECTS\\DATASETS\\archive\BEML_minute.csv,2519655.35170373
D:\\FINANCE PROJECTS\\DATASETS\\archive\BERGEPAINT_minute.csv,1196848.224073888
D:\\FINANCE PROJECTS\\DATASETS\\archive\BHARATFORG_minute.csv,3051790.6153312563
D:\\FINANCE PROJECTS\\DATASETS\\archive\BHARTIARTL_minute.csv,15366165.281774936
D:\\FINANCE PROJECTS\\DATASETS\\archive\BHARTIHEXA_minute.csv,2221566.3340852256
D:\\FINANCE PROJECTS\\DATASETS\\archive\BHEL_minute.csv,5718785.994895471
D:\\FINANCE PROJECTS\\DATASETS\\archive\BIKAJI_minute.csv,772096.0373031222
D:\\FINANCE PROJECTS\\DATASETS\\archive\BIOCON_minute.csv,2737699.5742671797
D:\\FINANCE PROJECTS\\DATASETS\\archive\BLS_minute.csv,1248388.0966896946
D:\\FINANCE PROJECTS\\DATASETS\\archive\BLUEDART_minute.csv,358454.1249394473
D:\\FINANCE PROJECTS\\DATASETS\\archive\BLUEJET_minute.csv,715566.6175409153
D:\\FINANCE PROJECTS\\DATASETS\\archive\BLUESTARCO_minute.csv,656381.7331233424
